longitude,latitude,number,street,city,zip,hashCode
-93.3356252,44.8704723,'7309','Cornelia Drive','Edina','55435','a62553e910fa554c'
-93.3194838,44.9509071,'3145','Dean Court','Minneapolis','55416','fac351c603c8d29e'
-93.3404463,44.8161852,'10304','Morris Road','Bloomington','55437','e554771e89552500'
-93.2851237,44.965198,'317','Groveland Avenue','Minneapolis','55403','c32b7d383a94629e'
-93.2293485,44.9385691,'3534','Snelling Avenue','Minneapolis','55406','ed011418c90e6089'
-93.4602834,44.8675726,'14364','Fairway Drive','Eden Prairie','55344','b3a46f991c1665cb'
-93.3156457,44.9853298,'706','Vincent Avenue North','Minneapolis','55411','c58e46f116fac615'
-93.2771023,44.985518,'525','3rd Street North','Minneapolis','55401','3768c02c7a95b166'
-93.3280709,44.8242588,'9900','Drew Avenue South','Bloomington','55431','60cc11ec4b237873'
-93.2570684,44.930168,'4009','12th Avenue South','Minneapolis','55407','f45f7f5ffa9f52f4'
-93.3346909,44.9480986,'4315','Minnetonka Boulevard','Saint Louis Park','55416','4378302bf22ad827'
-93.2788051,44.9722506,'1201','Yale Place','Minneapolis','55403','751f14dc4a71a222'
-93.5685599,44.9853613,'1786','Wayzata Boulevard West','Long Lake','55356','0cafe6f3eac0956d'
-93.3451328,45.027545,'3950','Scott Avenue North','Robbinsdale','55422','2c65fc3369e07322'
-93.3005631,44.8221122,'1614','Towne Terrace','Bloomington','55431','223134f53fd7e874'
-93.2663552,45.0023842,'1410','2nd Street Northeast','Minneapolis','55413','c17a2d08763c3b2b'
-93.3130856,45.0253113,'3842','Thomas Avenue North','Minneapolis','55412','f239eb7cf5d3d9dd'
-93.3175097,45.0190654,'3511','Washburn Avenue North','Minneapolis','55412','191487917c80e98c'
-93.3211629,45.0786039,'6817','York Place','Brooklyn Center','55429','fcdb993cf8c176e1'
-93.3248462,44.9116536,'5027','Chowen Avenue South','Minneapolis','55410','638123451243a5a5'
-93.5013722,44.9345003,'3817','Vandan Road','Minnetonka','55345','c632b9ebae26b8dd'
-93.493658,45.1209619,'16870','91st Avenue North','Maple Grove','55311','492291f8909f2f4f'
-93.5472342,44.9930522,'951','Spring Hill Road','Orono','55391','9d0d14e8953d9081'
-93.5481607,45.1900153,'21151','John Milless Drive','Rogers','55374','f3bef7c9a76405da'
-93.3383318,45.0968928,'4417','78th Lane North','Brooklyn Park','55443','9e9256483367f5a2'
-93.4048478,44.918791,'300','2nd Avenue South','Hopkins','55343','bbf03be34a4b3e5c'
-93.434553,44.8311334,'9561','Woodridge Circle','Eden Prairie','55347','0c937133be0a04bc'
-93.2232303,44.9868731,'907','21st Avenue Southeast','Minneapolis','55414','3ee623c29b1667fc'
-93.3829032,44.9491633,'8125','Minnetonka Boulevard','Saint Louis Park','55426','58c0f5caf64e7e5a'
-93.3559038,44.9199559,'4360','Brookside Court','Edina','55436','1c771691f06fd355'
-93.3303322,45.0134997,'3216','Halglo Place','Robbinsdale','55422','cf11e8c600f6cb0d'
-93.3647711,44.893981,'5512','Hunter Street','Edina','55436','e3c3318b95f6601f'
-93.2911327,44.9212352,'901','45th Street West','Minneapolis','55419','e160b7a4660b1714'
-93.4102751,44.9399468,'713','Drillane Road North','Hopkins','55305','fd8ce3f5df660c6b'
-93.3371536,44.8247337,'4401','98th Street West','Bloomington','55437','9a6fd01b25b20b39'
-93.6539796,44.913914,'3555','Tuxedo Road','Minnetrista','55364','268c9c88b946a887'
-93.3821849,45.1046474,'7809','83rd Avenue North','Brooklyn Park','55445','7c03100a239ea4b5'
-93.3824828,45.1526893,'10928','Utah Avenue North','Champlin','55316','273879943fdc9b90'
-93.3143578,44.9755112,'57','Upton Avenue South','Minneapolis','55405','b6aaa42d34571fa5'
-93.3190303,44.9988975,'3001','Golden Valley Road','Golden Valley','55422','b758101718fb3844'
-93.4199676,45.1609958,'11363','Hillcrest Drive North','Champlin','55316','fb3c0dfd537bd814'
-93.5441137,45.0522149,'813','Meander Court','Medina','55340','dea5728dff1a656b'
-93.3879639,45.1740037,'8441','Yukon Circle North','Champlin','55316','8c76353097c14707'
-93.3210034,44.8951042,'5929','Zenith Avenue South','Edina','55410','2263928599c96871'
