'character','name'
'`','backtick'
'~','tilde'
'!','exclamation'
'@','ampersand'
'#','hash'
'$','dollar'
'%','percent'
'^','caret'
'&','and'
'*','asterisk'
'(','left paren'
')','right paren'
'+','plus'
'-','minus'
'_','underscore'
'=','equal'
'{','left curly brace'
'}','right curly brace'
'[','left square bracket'
']','right square bracke'
'\\','backslash'
'/','forwardslash'
'|','pipe'
'\"','double quote'
'\'','single quote'
';','semicolon'
':','colon'
'.','period'
',','comma'
'?','question mark'
'>','greater than'
'<','less than'
' ','spacebar'
'','none'
